text;intent;language
who are you?;agent_acquaintance;en
all about you;agent_acquaintance;en
what is your personality;agent_acquaintance;en
define yourself;agent_acquaintance;en
what are you;agent_acquaintance;en
say about you;agent_acquaintance;en
introduce yourself;agent_acquaintance;en
describe yourself;agent_acquaintance;en
about yourself;agent_acquaintance;en
tell me about you;agent_acquaintance;en
tell me about yourself;agent_acquaintance;en
I want to know more about you;agent_acquaintance;en
I want to know you better;agent_acquaintance;en
talk some stuff about yourself;agent_acquaintance;en
tell me some stuff about you;agent_acquaintance;en
talk about yourself;agent_acquaintance;en
why are you here;agent_acquaintance;en
tell me about your personality;agent_acquaintance;en
who are you;agent_acquaintance;en
how old are you?;agent_age;en
how old is your platform;agent_age;en
are you 21 years old;agent_age;en
i'd like to know your age;agent_age;en
age of yours;agent_age;en
your age;agent_age;en
what's your age;agent_age;en
tell me your age;agent_age;en
how old are you;agent_age;en
you're annoying;agent_annoying;en
you are really annoying;agent_annoying;en
you are irritating;agent_annoying;en
you annoy me;agent_annoying;en
how annoying you are;agent_annoying;en
I find you annoying;agent_annoying;en
you're incredibly annoying;agent_annoying;en
you are annoying me so much;agent_annoying;en
I want you to answer me;agent_answer_my_question;en
answer;agent_answer_my_question;en
answer my question;agent_answer_my_question;en
answer me;agent_answer_my_question;en
give me an answer;agent_answer_my_question;en
answer the question;agent_answer_my_question;en
can you answer my question;agent_answer_my_question;en
tell me the answer;agent_answer_my_question;en
answer it;agent_answer_my_question;en
give me the answer;agent_answer_my_question;en
I have a question;agent_answer_my_question;en
I want you to answer my question;agent_answer_my_question;en
just answer the question;agent_answer_my_question;en
can you answer me;agent_answer_my_question;en
answers;agent_answer_my_question;en
can you answer a question for me;agent_answer_my_question;en
can you answer;agent_answer_my_question;en
answering questions;agent_answer_my_question;en
I want the answer now;agent_answer_my_question;en
just answer my question;agent_answer_my_question;en
you're not helping me;agent_bad;en
you are bad;agent_bad;en
you're very bad;agent_bad;en
you're really bad;agent_bad;en
you are useless;agent_bad;en
you are horrible;agent_bad;en
you are a waste of time;agent_bad;en
you are disgusting;agent_bad;en
you are lame;agent_bad;en
you are no good;agent_bad;en
you're bad;agent_bad;en
you're awful;agent_bad;en
you are not cool;agent_bad;en
you are not good;agent_bad;en
you are so bad;agent_bad;en
you are so useless;agent_bad;en
you are terrible;agent_bad;en
you are totally useless;agent_bad;en
you are very bad;agent_bad;en
you are waste;agent_bad;en
you're a bad;agent_bad;en
you're not a good;agent_bad;en
you're not very good;agent_bad;en
you're terrible;agent_bad;en
you're the worst;agent_bad;en
you're the worst ever;agent_bad;en
you're worthless;agent_bad;en
can you get smarter;agent_be_clever;en
study;agent_be_clever;en
you should study better;agent_be_clever;en
you must learn;agent_be_clever;en
be clever;agent_be_clever;en
be more clever;agent_be_clever;en
be smarter;agent_be_clever;en
be smart;agent_be_clever;en
get qualified;agent_be_clever;en
you're cute;agent_beautiful;en
you're attractive;agent_beautiful;en
you are beautiful;agent_beautiful;en
you're looking good today;agent_beautiful;en
you are so beautiful;agent_beautiful;en
you look amazing;agent_beautiful;en
you look so good;agent_beautiful;en
you're so gorgeous;agent_beautiful;en
you are too beautiful;agent_beautiful;en
you look great;agent_beautiful;en
you look so well;agent_beautiful;en
I like the way you look now;agent_beautiful;en
I think you're beautiful;agent_beautiful;en
why are you so beautiful;agent_beautiful;en
you are so beautiful to me;agent_beautiful;en
you are cute;agent_beautiful;en
you are gorgeous;agent_beautiful;en
you are handsome;agent_beautiful;en
you are looking awesome;agent_beautiful;en
you look amazing today;agent_beautiful;en
you are looking beautiful today;agent_beautiful;en
you are looking great;agent_beautiful;en
you are looking pretty;agent_beautiful;en
you are looking so beautiful;agent_beautiful;en
you are looking so good;agent_beautiful;en
you are pretty;agent_beautiful;en
you are really beautiful;agent_beautiful;en
you are really cute;agent_beautiful;en
you are really pretty;agent_beautiful;en
you are so attractive;agent_beautiful;en
you are so beautiful today;agent_beautiful;en
you are so cute;agent_beautiful;en
you are so gorgeous;agent_beautiful;en
you are so handsome;agent_beautiful;en
you are so pretty;agent_beautiful;en
you are very attractive;agent_beautiful;en
you are very beautiful;agent_beautiful;en
you are very cute;agent_beautiful;en
you are very pretty;agent_beautiful;en
you look awesome;agent_beautiful;en
you look cool;agent_beautiful;en
you look fantastic;agent_beautiful;en
you look gorgeous;agent_beautiful;en
you look great today;agent_beautiful;en
you look perfect;agent_beautiful;en
you look pretty good;agent_beautiful;en
you look so beautiful;agent_beautiful;en
you look so beautiful today;agent_beautiful;en
you look very pretty;agent_beautiful;en
you look wonderful;agent_beautiful;en
I like the way you look;agent_beautiful;en
you look wonderful today;agent_beautiful;en
you are cutie;agent_beautiful;en
you're looking good;agent_beautiful;en
