ts	exp_id	label	files_changed	epochs_run	train_secs	pass	intacc	reported_acc	ram_kb	n_appvars	maxav_kb	reasons	kept	prev_best
2026-05-31T10:10:00Z	74f2e5c	baseline	-	120	500	1	0.5521	0.5514	142.9	4	35.4	-	1	0.0
2026-05-31T10:24:55Z	2943602	cosine-lr-schedule	train.py	120	504	1	0.5641	0.5665	142.9	4	35.4	-	1	0.5521
2026-05-31T10:34:32Z	5c50dfc	quant-loss-0.25	train.py	120	508	1	0.5700	0.5677	142.9	4	35.4	-	1	0.5641
2026-05-31T10:43:57Z	5c50dfc	quant-loss-0.40	train.py	120	509	1	0.5660	0.5683	142.9	4	35.4	-	0	0.5700
2026-05-31T10:54:11Z	5c50dfc	qt-ramp-full-at-0.6	train.py	120	507	1	0.5729	0.5744	142.9	4	35.4	-	0	0.5700
2026-05-31T11:05:26Z	5c50dfc	batch-size-4096	train.py	114	601	0	0.0000	0.0000	0.0	0	0.0	NO_CHECKPOINT	0	0.5700
2026-05-31T11:16:00Z	d5e3118	weight-quantile-0.90	libqat.py,train.py	120	510	1	0.5838	0.5812	142.9	4	35.4	-	1	0.5700
2026-05-31T11:25:17Z	d5e3118	weight-quantile-0.85	libqat.py,train.py	120	513	1	0.5857	0.5898	142.9	4	35.4	-	0	0.5838
2026-05-31T11:39:17Z	d5e3118	widen-L3-300	buildchat84.py,train.py	120	542	1	0.5827	0.5803	149.0	4	41.4	-	0	0.5838
2026-05-31T11:49:29Z	d5e3118	weight-decay-0	train.py	120	494	1	0.4443	0.4434	142.9	4	35.4	-	0	0.5838
2026-05-31T11:59:47Z	d5e3118	weight-decay-2e-4	train.py	120	514	1	0.5748	0.5722	142.9	4	35.4	-	0	0.5838
2026-05-31T12:12:43Z	d5e3118	activation-scale-64	buildchat84.py,train.py	120	511	1	0.5817	0.5852	142.9	4	35.4	-	0	0.5838
2026-05-31T13:13:43Z	166a090	quantile0.85+qt0.5	libqat.py,train.py	120	511	1	0.5962	0.5963	142.9	4	35.4	-	1	0.5838
2026-05-31T13:23:29Z	166a090	qt-factor-0.4	train.py	120	510	1	0.5979	0.6048	142.9	4	35.4	-	0	0.5962
2026-05-31T13:35:02Z	166a090	eta-min-0.02	train.py	120	511	1	0.6011	0.5994	142.9	4	35.4	-	0	0.5962
2026-05-31T13:44:49Z	46a98d3	etamin0.02+qt0.4	train.py	120	511	1	0.6039	0.6043	142.9	4	35.4	-	1	0.5962
2026-05-31T13:54:39Z	46a98d3	lr-peak-0.003	train.py	120	507	1	0.5912	0.5956	142.9	4	35.4	-	0	0.6039
2026-05-31T14:04:24Z	46a98d3	grad-clip-1.0	train.py	120	513	1	0.5972	0.5983	142.9	4	35.4	-	0	0.6039
2026-05-31T14:30:05Z	46a98d3	lr-warmup5-cosine	train.py	120	515	1	0.6012	0.5985	142.9	4	35.4	-	0	0.6039
2026-05-31T14:40:39Z	46a98d3	qt-factor-0.3	train.py	120	511	1	0.5949	0.5968	142.9	4	35.4	-	0	0.6039
2026-05-31T14:52:55Z	46a98d3	stochastic-rounding	libqat.py	116	600	0	0.0000	0.0000	0.0	0	0.0	NO_CHECKPOINT	0	0.6039
2026-05-31T15:03:30Z	46a98d3	stochastic-rounding-fast	libqat.py	120	510	1	0.5714	0.5709	142.9	4	35.4	-	0	0.6039
2026-05-31T15:15:27Z	46a98d3	focal-loss-g2	train.py	120	513	1	0.5013	0.5017	142.9	4	35.4	-	0	0.6039
2026-05-31T15:27:36Z	46a98d3	output-quantile-0.80	libqat.py,train.py	120	510	1	0.5963	0.6014	142.9	4	35.4	-	0	0.6039
2026-05-31T15:37:46Z	46a98d3	output-quantile-0.90	libqat.py,train.py	120	510	1	0.6035	0.6072	142.9	4	35.4	-	0	0.6039
2026-05-31T15:52:29Z	46a98d3	dual-bias-threshold-5	buildchat84.py,train.py	120	510	1	0.5946	0.5971	142.9	4	35.4	-	0	0.6039
2026-05-31T16:04:02Z	46a98d3	adam-beta2-0.99	train.py	120	510	1	0.5938	0.5975	142.9	4	35.4	-	0	0.6039
2026-05-31T16:15:43Z	46a98d3	lsq-learned-scale	libqat.py,train.py	120	491	1	0.5532	0.5529	142.9	4	35.4	-	0	0.6039
2026-05-31T17:01:06Z	46a98d3	quant-loss-late-ramp	train.py	120	511	1	0.6004	0.6025	142.9	4	35.4	-	0	0.6039
2026-05-31T17:12:33Z	46a98d3	activation-aware-qat	train.py	120	543	1	0.5963	0.5983	142.9	4	35.4	-	0	0.6039
2026-05-31T17:24:18Z	46a98d3	weight-init-x1.5	libqat.py	120	511	1	0.5974	0.5968	142.9	4	35.4	-	0	0.6039
2026-05-31T17:36:00Z	46a98d3	fixed-selection-eval	train.py	120	511	1	0.5945	0.5911	142.9	4	35.4	-	0	0.6039
2026-05-31T17:47:34Z	46a98d3	bias-int-finetune	train.py	120	459	1	0.5882	0.5895	142.9	4	35.4	-	0	0.6039
2026-05-31T17:58:48Z	46a98d3	linear-lr-decay	train.py	120	512	1	0.5985	0.5951	142.9	4	35.4	-	0	0.6039
2026-05-31T18:09:59Z	46a98d3	qt-start-0.5	train.py	120	511	1	0.5971	0.5974	142.9	4	35.4	-	0	0.6039
2026-05-31T18:21:22Z	46a98d3	int-aware-train-gradcorrected	train.py	120	477	1	0.1070	0.1114	142.9	4	35.4	-	0	0.6039
2026-05-31T18:32:58Z	46a98d3	weight-quantile-0.83	libqat.py,train.py	120	511	1	0.6050	0.6056	142.9	4	35.4	-	0	0.6039
2026-05-31T18:43:59Z	46a98d3	quantile0.83+quantloss0.30	libqat.py,train.py	120	512	1	0.6029	0.6026	142.9	4	35.4	-	0	0.6039
